Xx,Xy,Xz,Tx,Ty,Tz,Nx,Ny,Nz,Bx,By,Bz,kv,tr,Xx2d,Xy2d,Tx2d,Ty2d,Nx2d,Ny2d,k2d,alpha,da,cosa,sina,tana,betar, betal,cosbr,cosbl,sinbr,sinbl,rrx,rry,rrz,rlx,rly,rlz,rrx_cp,rry_cp,rlx_cp,rly_cp,
10.156250,89.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.156250,89.062500,0.000000,0.000000,0.000000,0.000000,0.000000,0.972117,0.000000,0.563552,0.826080,1.465845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
14.597314,86.765338,0.000000,0.891395,-0.453227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.581188,86.734426,0.885928,-0.463823,0.000000,0.000000,0.000000,0.972117,-0.000893,0.563552,0.826080,1.465845,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
19.069984,84.530339,0.000000,0.897630,-0.440751,0.000000,0.439334,0.898269,-0.009947,0.004384,0.008928,0.999949,0.003100,0.000000,19.015513,84.424284,0.888708,-0.458474,0.456754,0.889593,0.001592,0.963189,-0.002149,0.570905,0.821016,1.438096,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
23.573391,82.357938,0.000000,0.905014,-0.425381,-0.000308,0.422555,0.905888,-0.028525,0.012413,0.025685,0.999589,0.003995,-0.004002,23.468195,82.149723,0.893202,-0.449656,0.448026,0.894020,0.002344,0.950628,-0.002797,0.581172,0.813780,1.400239,1.925946,2.695596,-0.347731,-0.902181,0.937594,0.431357,-0.535780,-0.326288,0.778766,-0.705732,0.619478,0.343786,-0.732189,-0.681102,-0.611868,0.790960,
28.119666,80.276743,-0.003083,0.914509,-0.404564,-0.001139,0.401716,0.914402,-0.049933,0.021243,0.045207,0.998749,0.005079,-0.004601,27.947377,79.927804,0.899210,-0.437517,0.436018,0.899938,0.003042,0.935223,-0.003276,0.593639,0.804731,1.355589,1.884301,2.662970,-0.308395,-0.887630,0.951258,0.460557,-0.492834,-0.357152,0.793446,-0.693620,0.625480,0.357303,-0.693504,-0.720453,-0.596664,0.802491,
32.717729,78.312627,-0.011394,0.925418,-0.378937,-0.002845,0.375794,0.923711,-0.074407,0.030823,0.067789,0.997221,0.005990,-0.005065,32.460031,77.774678,0.906466,-0.422278,0.420948,0.907085,0.003669,0.917865,-0.003573,0.607517,0.794307,1.307464,1.874680,2.638112,-0.299228,-0.875909,0.954182,0.482477,-0.471559,-0.370824,0.800076,-0.688257,0.628315,0.362661,-0.674170,-0.738576,-0.590242,0.807227,
37.372791,76.487802,-0.031525,0.937018,-0.349235,-0.005596,0.345488,0.933053,-0.100252,0.040233,0.092005,0.994944,0.006713,-0.005314,37.011653,75.705200,0.914654,-0.404238,0.403121,0.915147,0.004206,0.899495,-0.003683,0.622005,0.783013,1.258853,1.871707,2.612861,-0.296390,-0.863447,0.955067,0.504439,-0.453000,-0.382078,0.805486,-0.684483,0.630377,0.366207,-0.657169,-0.753743,-0.585842,0.810425,
42.086573,74.820774,-0.067349,0.948609,-0.316305,-0.009574,0.311549,0.941721,-0.126883,0.049150,0.117380,0.991869,0.007249,-0.005416,41.606058,73.732525,0.923423,-0.383784,0.382904,0.923788,0.004641,0.881037,-0.003620,0.636351,0.771399,1.212222,1.881491,2.587439,-0.305720,-0.850346,0.952121,0.526224,-0.442764,-0.387741,0.808466,-0.682151,0.631764,0.368164,-0.647718,-0.761880,-0.583272,0.812277,
46.857305,73.325274,-0.127250,0.959602,-0.280970,-0.014794,0.274792,0.949210,-0.153264,0.057105,0.143007,0.988073,0.007621,-0.005412,46.245251,71.867617,0.932425,-0.361364,0.360698,0.932683,0.004975,0.863292,-0.003420,0.649939,0.759987,1.169320,1.901966,2.561176,-0.325149,-0.836234,0.945663,0.548373,-0.439931,-0.389329,0.809249,-0.680565,0.632723,0.369450,-0.644905,-0.764263,-0.581563,0.813501,
51.680839,72.011586,-0.215263,0.969550,-0.243970,-0.021254,0.235895,0.955110,-0.179217,0.064023,0.168746,0.983578,0.007868,-0.005360,50.929579,70.119169,0.941366,-0.337388,0.336880,0.941548,0.005225,0.846835,-0.003127,0.662358,0.749188,1.131093,1.932939,2.534515,-0.354279,-0.821319,0.935140,0.570470,-0.444798,-0.386978,0.807714,-0.679708,0.633293,0.370051,-0.649011,-0.760779,-0.580692,0.814124,
